




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2464051.68769   8112921.16661   149335105.07813   -67669.38567   -29.74019   1.75923   0.24806
2464052.05305   7174880.77247   149387637.88879   -59845.24737   -29.74975   1.57237   0.24814
2464052.41842   6236557.30747   149434276.91452   -52018.74800   -29.75814   1.38545   0.24821
2464052.78378   5297987.81354   149475020.84958   -44190.19651   -29.76535   1.19850   0.24827
2464053.14915   4359209.33562   149509868.62122   -36359.90190   -29.77139   1.01152   0.24832
2464053.51451   3420258.92019   149538819.38955   -28528.17317   -29.77626   0.82452   0.24836
2464053.87988   2481173.61378   149561872.54756   -20695.31932   -29.77995   0.63750   0.24839
2464054.24525   1541990.46152   149579027.72102   -12861.64935   -29.78246   0.45047   0.24841
2464054.61061   602746.50570   149590284.76842   -5027.47222   -29.78380   0.26344   0.24842
2464054.97598   -336521.21572   149595643.78091   2806.90314   -29.78397   0.07642   0.24843
2464055.34134   -1275775.67057   149595105.08218   10641.16785   -29.78296   -0.11058   0.24842
2464055.70671   -2214979.83392   149588669.22838   18475.01308   -29.78078   -0.29757   0.24840
2464056.07207   -3154096.68952   149576337.00802   26308.13007   -29.77742   -0.48453   0.24837
2464056.43744   -4093089.23130   149558109.44184   34140.21018   -29.77290   -0.67145   0.24833
2464056.80280   -5031920.46477   149533987.78270   41970.94482   -29.76719   -0.85833   0.24829
2464057.16817   -5970553.40852   149503973.51543   49800.02554   -29.76032   -1.04516   0.24823
2464057.53353   -6908951.09567   149468068.35669   57627.14399   -29.75227   -1.23192   0.24816
2464057.89890   -7847076.57526   149426274.25485   65451.99198   -29.74306   -1.41863   0.24809
2464058.26426   -8784892.91379   149378593.38977   73274.26145   -29.73267   -1.60526   0.24800
2464058.62963   -9722363.19658   149325028.17270   81093.64448   -29.72111   -1.79181   0.24790
2464058.99499   -10659450.52928   149265581.24604   88909.83335   -29.70838   -1.97827   0.24780
2464059.36036   -11596118.03928   149200255.48318   96722.52051   -29.69449   -2.16464   0.24768
2464059.72573   -12532328.87714   149129053.98832   104531.39858   -29.67942   -2.35091   0.24755
2464060.09109   -13468046.21807   149051980.09623   112336.16044   -29.66319   -2.53707   0.24742
2464060.45646   -14403233.26335   148969037.37205   120136.49912   -29.64579   -2.72311   0.24727
2464060.82182   -15337853.24172   148880229.61108   127932.10794   -29.62723   -2.90902   0.24712
2464061.18719   -16271869.41090   148785560.83852   135722.68042   -29.60750   -3.09481   0.24695
2464061.55255   -17205245.05893   148685035.30927   143507.91035   -29.58660   -3.28046   0.24678
2464061.91792   -18137943.50568   148578657.50764   151287.49179   -29.56455   -3.46596   0.24660
2464062.28328   -19069928.10421   148466432.14710   159061.11906   -29.54133   -3.65130   0.24640
2464062.64865   -20001162.24223   148348364.17004   166828.48679   -29.51696   -3.83649   0.24620
2464063.01401   -20931609.34351   148224458.74746   174589.28989   -29.49142   -4.02151   0.24599
2464063.37938   -21861232.86932   148094721.27871   182343.22360   -29.46473   -4.20636   0.24576
2464063.74474   -22789996.31980   147959157.39117   190089.98347   -29.43687   -4.39102   0.24553
2464064.11011   -23717863.23543   147817772.93997   197829.26539   -29.40787   -4.57549   0.24529
2464064.47548   -24644797.19839   147670574.00768   205560.76562   -29.37771   -4.75977   0.24504
2464064.84084   -25570761.83402   147517566.90399   213284.18075   -29.34639   -4.94384   0.24478
2464065.20621   -26495720.81219   147358758.16536   220999.20774   -29.31393   -5.12771   0.24451
2464065.57157   -27419637.84869   147194154.55471   228705.54397   -29.28031   -5.31135   0.24423
2464065.93694   -28342476.70668   147023763.06105   236402.88717   -29.24555   -5.49477   0.24394
2464066.30230   -29264201.19806   146847590.89916   244090.93551   -29.20964   -5.67796   0.24364
2464066.66767   -30184775.18486   146665645.50920   251769.38756   -29.17259   -5.86090   0.24333
2464067.03303   -31104162.58064   146477934.55634   259437.94232   -29.13439   -6.04360   0.24301
2464067.39840   -32022327.35187   146284465.93041   267096.29925   -29.09505   -6.22605   0.24268
2464067.76376   -32939233.51934   146085247.74547   274744.15824   -29.05457   -6.40824   0.24234
2464068.12913   -33854845.15952   145880288.33945   282381.21965   -29.01295   -6.59016   0.24200
2464068.49449   -34769126.40594   145669596.27372   290007.18433   -28.97020   -6.77180   0.24164
2464068.85986   -35682041.45057   145453180.33270   297621.75361   -28.92631   -6.95316   0.24127
2464069.22523   -36593554.54521   145231049.52344   305224.62930   -28.88129   -7.13423   0.24090
2464069.59059   -37503630.00284   145003213.07514   312815.51375   -28.83513   -7.31501   0.24051
2464069.95596   -38412232.19899   144769680.43880   320394.10982   -28.78785   -7.49548   0.24012
2464070.32132   -39319325.57311   144530461.28669   327960.12089   -28.73944   -7.67564   0.23971
2464070.68669   -40224874.62992   144285565.51196   335513.25090   -28.68991   -7.85549   0.23930
2464071.05205   -41128843.94078   144035003.22812   343053.20435   -28.63926   -8.03501   0.23888
2464071.41742   -42031198.14503   143778784.76864   350579.68630   -28.58748   -8.21420   0.23845
2464071.78278   -42931901.95135   143516920.68641   358092.40237   -28.53459   -8.39305   0.23801
2464072.14815   -43830920.13911   143249421.75327   365591.05880   -28.48058   -8.57156   0.23755
2464072.51351   -44728217.55967   142976298.95955   373075.36241   -28.42546   -8.74971   0.23710
2464072.87888   -45623759.13779   142697563.51350   380545.02065   -28.36923   -8.92751   0.23663
2464073.24424   -46517509.87290   142413226.84087   387999.74158   -28.31189   -9.10494   0.23615
2464073.60961   -47409434.84047   142123300.58430   395439.23389   -28.25344   -9.28200   0.23566
