




Julian Date (days)   sc_2_X (km)   sc_2_Y (km)   sc_2_Z (km)   sc_2_V_X (km/s)   sc_2_V_Y (km/s)   sc_2_V_Z (km/s)
2464006.38238   112470083.39561   98423274.75380   -241904.05261   -19.73881   22.34165   -0.24370
2464006.74775   111845380.85084   99125890.78144   -249584.67843   -19.87943   22.21781   -0.24340
2464007.11311   111216255.96449   99824587.39259   -257255.43572   -20.01928   22.09309   -0.24308
2464007.47848   110582733.22108   100519336.61003   -264916.02028   -20.15834   21.96747   -0.24275
2464007.84384   109944837.28393   101210110.60817   -272566.12825   -20.29662   21.84098   -0.24241
2464008.20921   109302592.99426   101896881.71419   -280205.45614   -20.43411   21.71361   -0.24207
2464008.57457   108656025.37024   102579622.40924   -287833.70083   -20.57081   21.58537   -0.24171
2464008.93994   108005159.60608   103258305.32956   -295450.55959   -20.70670   21.45627   -0.24135
2464009.30531   107350021.07106   103932903.26763   -303055.73008   -20.84178   21.32631   -0.24097
2464009.67067   106690635.30859   104603389.17334   -310648.91038   -20.97605   21.19549   -0.24058
2464010.03604   106027028.03526   105269736.15509   -318229.79899   -21.10951   21.06382   -0.24019
2464010.40140   105359225.13983   105931917.48097   -325798.09485   -21.24214   20.93130   -0.23979
2464010.76677   104687252.68231   106589906.57984   -333353.49732   -21.37394   20.79795   -0.23937
2464011.13213   104011136.89292   107243677.04247   -340895.70627   -21.50490   20.66376   -0.23895
2464011.49750   103330904.17114   107893202.62267   -348424.42200   -21.63503   20.52874   -0.23852
2464011.86286   102646581.08471   108538457.23837   -355939.34530   -21.76431   20.39290   -0.23807
2464012.22823   101958194.36859   109179414.97273   -363440.17747   -21.89274   20.25624   -0.23762
2464012.59359   101265770.92397   109816050.07527   -370926.62032   -22.02032   20.11876   -0.23716
2464012.95896   100569337.81726   110448336.96291   -378398.37615   -22.14703   19.98048   -0.23669
2464013.32432   99868922.27903   111076250.22109   -385855.14784   -22.27288   19.84139   -0.23621
2464013.68969   99164551.70298   111699764.60483   -393296.63878   -22.39786   19.70150   -0.23572
2464014.05506   98456253.64495   112318855.03982   -400722.55291   -22.52196   19.56082   -0.23522
2464014.42042   97744055.82176   112933496.62348   -408132.59478   -22.64518   19.41936   -0.23472
2464014.78579   97027986.11027   113543664.62599   -415526.46948   -22.76751   19.27711   -0.23420
2464015.15115   96308072.54624   114149334.49141   -422903.88271   -22.88896   19.13409   -0.23367
2464015.51652   95584343.32326   114750481.83865   -430264.54078   -23.00950   18.99030   -0.23314
2464015.88188   94856826.79171   115347082.46258   -437608.15061   -23.12914   18.84574   -0.23259
2464016.24725   94125551.45763   115939112.33499   -444934.41974   -23.24788   18.70042   -0.23204
2464016.61261   93390545.98166   116526547.60572   -452243.05637   -23.36571   18.55435   -0.23147
2464016.97798   92651839.17791   117109364.60355   -459533.76933   -23.48262   18.40753   -0.23090
2464017.34334   91909460.01288   117687539.83735   -466806.26815   -23.59861   18.25997   -0.23032
2464017.70871   91163437.60429   118261049.99697   -474060.26300   -23.71367   18.11168   -0.22973
2464018.07407   90413801.22004   118829871.95432   -481295.46476   -23.82780   17.96265   -0.22913
2464018.43944   89660580.27701   119393982.76433   -488511.58501   -23.94100   17.81290   -0.22852
2464018.80480   88903804.33994   119953359.66594   -495708.33602   -24.05326   17.66243   -0.22790
2464019.17017   88143503.12031   120507980.08308   -502885.43082   -24.16457   17.51125   -0.22727
2464019.53554   87379706.47517   121057821.62566   -510042.58315   -24.27494   17.35936   -0.22663
2464019.90090   86612444.40598   121602862.09051   -517179.50750   -24.38435   17.20677   -0.22599
2464020.26627   85841747.05747   122143079.46235   -524295.91914   -24.49280   17.05348   -0.22533
2464020.63163   85067644.71642   122678451.91473   -531391.53408   -24.60029   16.89950   -0.22467
2464020.99700   84290167.81054   123208957.81102   -538466.06915   -24.70681   16.74485   -0.22399
2464021.36236   83509346.90727   123734575.70528   -545519.24194   -24.81236   16.58951   -0.22331
2464021.72773   82725212.71254   124255284.34324   -552550.77087   -24.91694   16.43350   -0.22262
2464022.09309   81937796.06965   124771062.66320   -559560.37517   -25.02053   16.27683   -0.22192
2464022.45846   81147127.95802   125281889.79695   -566547.77489   -25.12314   16.11950   -0.22121
2464022.82382   80353239.49198   125787745.07068   -573512.69095   -25.22477   15.96152   -0.22050
2464023.18919   79556161.91957   126288608.00587   -580454.84509   -25.32540   15.80289   -0.21977
2464023.55455   78755926.62131   126784458.32020   -587373.95994   -25.42503   15.64362   -0.21904
2464023.91992   77952565.10897   127275275.92842   -594269.75900   -25.52366   15.48372   -0.21829
2464024.28529   77146109.02434   127761040.94324   -601141.96663   -25.62128   15.32319   -0.21754
2464024.65065   76336590.13799   128241733.67618   -607990.30814   -25.71790   15.16204   -0.21678
2464025.01602   75524040.34799   128717334.63845   -614814.50971   -25.81350   15.00027   -0.21601
2464025.38138   74708491.67873   129187824.54180   -621614.29845   -25.90809   14.83790   -0.21523
2464025.74675   73889976.27957   129653184.29935   -628389.40242   -26.00165   14.67492   -0.21444
2464026.11211   73068526.42365   130113395.02646   -635139.55061   -26.09419   14.51135   -0.21365
2464026.47748   72244174.50655   130568438.04153   -641864.47297   -26.18570   14.34719   -0.21284
2464026.84284   71416953.04510   131018294.86684   -648563.90041   -26.27617   14.18245   -0.21203
2464027.20821   70586894.67599   131462947.22936   -655237.56484   -26.36561   14.01713   -0.21121
2464027.57357   69754032.15458   131902377.06154   -661885.19912   -26.45401   13.85124   -0.21038
2464027.93894   68918398.35353   132336566.50215   -668506.53716   -26.54136   13.68478   -0.20954
2464028.30430   68080026.26155   132765497.89700   -675101.31384   -26.62767   13.51777   -0.20870
2464028.66967   67238948.98207   133189153.79981   -681669.26509   -26.71293   13.35022   -0.20784
2464029.03504   66395199.73192   133607516.97291   -688210.12787   -26.79713   13.18211   -0.20698
2464029.40040   65548811.84004   134020570.38804   -694723.64016   -26.88027   13.01347   -0.20611
2464029.76577   64699818.74612   134428297.22710   -701209.54103   -26.96235   12.84430   -0.20523
2464030.13113   63848253.99931   134830680.88289   -707667.57060   -27.04336   12.67461   -0.20434
2464030.49650   62994151.25686   135227704.95986   -714097.47008   -27.12330   12.50440   -0.20344
2464030.86186   62137544.28280   135619353.27485   -720498.98174   -27.20218   12.33369   -0.20254
2464031.22723   61278466.94657   136005609.85779   -726871.84898   -27.27997   12.16246   -0.20163
2464031.59259   60416953.22169   136386458.95243   -733215.81631   -27.35669   11.99075   -0.20070
2464031.95796   59553037.18439   136761885.01704   -739530.62933   -27.43233   11.81854   -0.19978
2464032.32332   58686753.01228   137131872.72510   -745816.03481   -27.50688   11.64585   -0.19884
2464032.68869   57818134.98294   137496406.96602   -752071.78063   -27.58034   11.47268   -0.19790
2464033.05405   56947217.47259   137855472.84576   -758297.61585   -27.65271   11.29905   -0.19694
2464033.41942   56074034.95470   138209055.68758   -764493.29069   -27.72398   11.12495   -0.19598
2464033.78478   55198621.99860   138557141.03263   -770658.55651   -27.79416   10.95040   -0.19501
2464034.15015   54321013.26810   138899714.64065   -776793.16591   -27.86324   10.77540   -0.19404
2464034.51552   53441243.52011   139236762.49057   -782896.87264   -27.93121   10.59996   -0.19305
2464034.88088   52559347.60324   139568270.78119   -788969.43168   -27.99808   10.42409   -0.19206
2464035.24625   51675360.45640   139894225.93181   -795010.59921   -28.06383   10.24778   -0.19106
2464035.61161   50789317.10740   140214614.58279   -801020.13266   -28.12848   10.07106   -0.19006
2464035.97698   49901252.67153   140529423.59620   -806997.79066   -28.19201   9.89393   -0.18904
2464036.34234   49011202.35016   140838640.05644   -812943.33313   -28.25442   9.71639   -0.18802
2464036.70771   48119201.42931   141142251.27078   -818856.52121   -28.31572   9.53845   -0.18699
2464037.07307   47225285.27826   141440244.76996   -824737.11733   -28.37589   9.36011   -0.18595
2464037.43844   46329489.34808   141732608.30879   -830584.88519   -28.43493   9.18140   -0.18491
2464037.80380   45431849.17023   142019329.86667   -836399.58976   -28.49285   9.00230   -0.18386
2464038.16917   44532400.35510   142300397.64818   -842180.99735   -28.54963   8.82284   -0.18280
2464038.53453   43631178.59062   142575800.08357   -847928.87554   -28.60529   8.64301   -0.18173
2464038.89990   42728219.64076   142845525.82938   -853642.99323   -28.65980   8.46283   -0.18066
2464039.26527   41823559.34413   143109563.76889   -859323.12067   -28.71319   8.28229   -0.17957
2464039.63063   40917233.61247   143367903.01265   -864969.02942   -28.76543   8.10142   -0.17849
2464039.99600   40009278.42929   143620532.89903   -870580.49240   -28.81652   7.92021   -0.17739
2464040.36136   39099729.84832   143867442.99466   -876157.28389   -28.86648   7.73867   -0.17629
2464040.72673   38188623.99209   144108623.09496   -881699.17952   -28.91529   7.55682   -0.17518
2464041.09209   37275997.05047   144344063.22459   -887205.95631   -28.96294   7.37465   -0.17406
2464041.45746   36361885.27917   144573753.63793   -892677.39266   -29.00945   7.19217   -0.17294
2464041.82282   35446324.99832   144797684.81955   -898113.26837   -29.05481   7.00940   -0.17180
2464042.18819   34529352.59093   145015847.48464   -903513.36462   -29.09901   6.82634   -0.17067
2464042.55355   33611004.50146   145228232.57946   -908877.46404   -29.14205   6.64299   -0.16952
2464042.91892   32691317.23432   145434831.28177   -914205.35064   -29.18394   6.45937   -0.16837
2464043.28428   31770327.35237   145635635.00123   -919496.80991   -29.22466   6.27548   -0.16721
2464043.64965   30848071.47545   145830635.37986   -924751.62873   -29.26423   6.09132   -0.16605
2464044.01502   29924586.27888   146019824.29238   -929969.59548   -29.30263   5.90692   -0.16487
2464044.38038   28999908.49198   146203193.84664   -935150.49994   -29.33986   5.72226   -0.16370
2464044.74575   28074074.89653   146380736.38399   -940294.13342   -29.37593   5.53737   -0.16251
2464045.11111   27147122.32530   146552444.47966   -945400.28866   -29.41082   5.35225   -0.16132
2464045.47648   26219087.66057   146718310.94311   -950468.75991   -29.44455   5.16690   -0.16012
2464045.84184   25290007.83255   146878328.81837   -955499.34291   -29.47711   4.98133   -0.15892
2464046.20721   24359919.81794   147032491.38441   -960491.83489   -29.50849   4.79556   -0.15770
2464046.57257   23428860.63839   147180792.15546   -965446.03462   -29.53870   4.60958   -0.15649
2464046.93794   22496867.35895   147323224.88133   -970361.74236   -29.56773   4.42341   -0.15526
2464047.30330   21563977.08664   147459783.54771   -975238.75991   -29.59559   4.23705   -0.15403
2464047.66867   20630226.96884   147590462.37649   -980076.89061   -29.62226   4.05052   -0.15280
2464048.03403   19695654.19179   147715255.82605   -984875.93936   -29.64776   3.86381   -0.15156
2464048.39940   18760295.97912   147834158.59152   -989635.71259   -29.67207   3.67693   -0.15031
2464048.76476   17824189.59025   147947165.60508   -994356.01831   -29.69521   3.48990   -0.14905
2464049.13013   16887372.31889   148054272.03621   -999036.66608   -29.71716   3.30272   -0.14779
2464049.49550   15949881.49152   148155473.29194   -1003677.46707   -29.73792   3.11540   -0.14653
2464049.86086   15011754.46583   148250765.01708   -1008278.23401   -29.75750   2.92794   -0.14525
2464050.22623   14073028.62921   148340143.09446   -1012838.78125   -29.77590   2.74036   -0.14397
2464050.59159   13133741.39720   148423603.64517   -1017358.92471   -29.79311   2.55266   -0.14269
2464050.95696   12193930.21195   148501143.02874   -1021838.48196   -29.80913   2.36484   -0.14140
2464051.32232   11253632.54066   148572757.84336   -1026277.27217   -29.82396   2.17692   -0.14010
2464051.68769   10312885.87408   148638444.92605   -1030675.11613   -29.83760   1.98891   -0.13880
2464052.05305   9371727.72492   148698201.35287   -1035031.83627   -29.85006   1.80080   -0.13750
2464052.41842   8430195.62635   148752024.43907   -1039347.25668   -29.86132   1.61262   -0.13618
2464052.78378   7488327.13040   148799911.73923   -1043621.20308   -29.87139   1.42436   -0.13487
2464053.14915   6546159.80646   148841861.04745   -1047853.50285   -29.88027   1.23604   -0.13354
2464053.51451   5603731.23967   148877870.39748   -1052043.98504   -29.88796   1.04765   -0.13221
2464053.87988   4661079.02945   148907938.06280   -1056192.48038   -29.89445   0.85922   -0.13088
2464054.24525   3718240.78787   148932062.55681   -1060298.82126   -29.89976   0.67074   -0.12954
2464054.61061   2775254.13813   148950242.63289   -1064362.84177   -29.90387   0.48223   -0.12820
2464054.97598   1832156.71301   148962477.28451   -1068384.37770   -29.90678   0.29369   -0.12685
2464055.34134   888986.15330   148968765.74531   -1072363.26653   -29.90850   0.10512   -0.12549
2464055.70671   -54219.89376   148969107.48919   -1076299.34745   -29.90903   -0.08345   -0.12413
2464056.07207   -997423.77601   148963502.23037   -1080192.46138   -29.90837   -0.27203   -0.12277
2464056.43744   -1940587.83798   148951949.92345   -1084042.45094   -29.90651   -0.46061   -0.12140
2464056.80280   -2883674.42240   148934450.76342   -1087849.16049   -29.90345   -0.64918   -0.12002
2464057.16817   -3826645.87178   148911005.18577   -1091612.43613   -29.89921   -0.83773   -0.11864
2464057.53353   -4769464.52998   148881613.86644   -1095332.12570   -29.89376   -1.02625   -0.11726
2464057.89890   -5712092.74375   148846277.72186   -1099008.07879   -29.88713   -1.21474   -0.11587
2464058.26426   -6654492.86432   148804997.90896   -1102640.14674   -29.87930   -1.40320   -0.11447
2464058.62963   -7596627.24893   148757775.82517   -1106228.18265   -29.87027   -1.59160   -0.11308
2464058.99499   -8538458.26242   148704613.10837   -1109772.04141   -29.86006   -1.77995   -0.11167
2464059.36036   -9479948.27878   148645511.63692   -1113271.57966   -29.84865   -1.96823   -0.11027
2464059.72573   -10421059.68270   148580473.52953   -1116726.65583   -29.83605   -2.15645   -0.10885
2464060.09109   -11361754.87115   148509501.14532   -1120137.13014   -29.82225   -2.34458   -0.10744
2464060.45646   -12301996.25496   148432597.08366   -1123502.86460   -29.80727   -2.53263   -0.10602
2464060.82182   -13241746.26034   148349764.18418   -1126823.72303   -29.79109   -2.72058   -0.10459
2464061.18719   -14180967.33046   148261005.52664   -1130099.57105   -29.77372   -2.90844   -0.10316
2464061.55255   -15119621.92702   148166324.43086   -1133330.27607   -29.75516   -3.09618   -0.10173
2464061.91792   -16057672.53182   148065724.45660   -1136515.70735   -29.73542   -3.28381   -0.10029
2464062.28328   -16995081.64830   147959209.40347   -1139655.73595   -29.71448   -3.47131   -0.09885
2464062.64865   -17931811.80309   147846783.31080   -1142750.23477   -29.69236   -3.65868   -0.09740
2464063.01401   -18867825.54762   147728450.45751   -1145799.07854   -29.66905   -3.84591   -0.09595
2464063.37938   -19803085.45962   147604215.36195   -1148802.14383   -29.64455   -4.03300   -0.09450
2464063.74474   -20737554.14474   147474082.78175   -1151759.30906   -29.61887   -4.21993   -0.09304
2464064.11011   -21671194.23803   147338057.71370   -1154670.45448   -29.59200   -4.40670   -0.09158
2464064.47548   -22603968.40559   147196145.39349   -1157535.46223   -29.56395   -4.59329   -0.09012
2464064.84084   -23535839.34605   147048351.29562   -1160354.21627   -29.53472   -4.77972   -0.08865
2464065.20621   -24466769.79216   146894681.13311   -1163126.60246   -29.50431   -4.96595   -0.08718
2464065.57157   -25396722.51234   146735140.85737   -1165852.50852   -29.47271   -5.15199   -0.08570
2464065.93694   -26325660.31223   146569736.65795   -1168531.82403   -29.43994   -5.33784   -0.08422
2464066.30230   -27253546.03623   146398474.96232   -1171164.44046   -29.40599   -5.52347   -0.08274
2464066.66767   -28180342.56909   146221362.43560   -1173750.25118   -29.37086   -5.70889   -0.08125
2464067.03303   -29106012.83742   146038405.98037   -1176289.15143   -29.33456   -5.89409   -0.07976
2464067.39840   -30030519.81123   145849612.73636   -1178781.03835   -29.29709   -6.07906   -0.07827
2464067.76376   -30953826.50551   145654990.08023   -1181225.81099   -29.25844   -6.26379   -0.07678
2464068.12913   -31875895.98178   145454545.62522   -1183623.37028   -29.21863   -6.44827   -0.07528
2464068.49449   -32796691.34958   145248287.22095   -1185973.61907   -29.17764   -6.63251   -0.07377
2464068.85986   -33716175.76806   145036222.95302   -1188276.46214   -29.13549   -6.81648   -0.07227
2464069.22523   -34634312.44750   144818361.14278   -1190531.80615   -29.09217   -7.00018   -0.07076
2464069.59059   -35551064.65084   144594710.34698   -1192739.55971   -29.04768   -7.18361   -0.06925
2464069.95596   -36466395.69524   144365279.35744   -1194899.63334   -29.00204   -7.36676   -0.06774
2464070.32132   -37380268.95359   144130077.20067   -1197011.93949   -28.95523   -7.54962   -0.06622
2464070.68669   -38292647.85605   143889113.13760   -1199076.39254   -28.90727   -7.73217   -0.06470
2464071.05205   -39203495.89157   143642396.66313   -1201092.90881   -28.85814   -7.91443   -0.06318
2464071.41742   -40112776.60943   143389937.50582   -1203061.40655   -28.80787   -8.09637   -0.06166
2464071.78278   -41020453.62076   143131745.62748   -1204981.80598   -28.75644   -8.27800   -0.06013
2464072.14815   -41926490.60005   142867831.22278   -1206854.02922   -28.70386   -8.45929   -0.05860
2464072.51351   -42830851.28669   142598204.71882   -1208678.00039   -28.65013   -8.64025   -0.05707
2464072.87888   -43733499.48647   142322876.77477   -1210453.64552   -28.59525   -8.82087   -0.05554
2464073.24424   -44634399.07309   142041858.28141   -1212180.89263   -28.53923   -9.00114   -0.05400
2464073.60961   -45533513.98970   141755160.36069   -1213859.67168   -28.48207   -9.18106   -0.05246
2464073.97497   -46430808.25036   141462794.36531   -1215489.91460   -28.42377   -9.36061   -0.05092
2464074.34034   -47326245.94161   141164771.87825   -1217071.55527   -28.36433   -9.53979   -0.04938
2464074.70571   -48219791.22389   140861104.71228   -1218604.52957   -28.30375   -9.71859   -0.04784
2464075.07107   -49111408.33313   140551804.90954   -1220088.77532   -28.24204   -9.89701   -0.04629
