




Julian Date (days)   sc_2_X (km)   sc_2_Y (km)   sc_2_Z (km)   sc_2_V_X (km/s)   sc_2_V_Y (km/s)   sc_2_V_Z (km/s)
2463964.00000   149954144.97931   -1244685.04008   634370.17484   0.12391   29.71156   -0.21410
2463964.36537   149955118.01493   -307682.92074   627605.83027   -0.06220   29.71253   -0.21489
2463964.73073   149950221.72802   629331.24099   620816.92088   -0.24832   29.71233   -0.21566
2463965.09610   149939455.84999   1566320.76795   614003.71048   -0.43445   29.71096   -0.21643
2463965.46146   149922820.34034   2503248.97818   607166.46388   -0.62057   29.70844   -0.21719
2463965.82683   149900315.38678   3440079.18630   600305.44686   -0.80668   29.70475   -0.21794
2463966.19219   149871941.40526   4376774.70495   593420.92616   -0.99278   29.69990   -0.21868
2463966.55756   149837699.04002   5313298.84618   586513.16948   -1.17885   29.69388   -0.21941
2463966.92292   149797589.16368   6249614.92287   579582.44547   -1.36489   29.68670   -0.22013
2463967.28829   149751612.87721   7185686.25010   572629.02372   -1.55090   29.67836   -0.22085
2463967.65365   149699771.51006   8121476.14662   565653.17472   -1.73685   29.66885   -0.22156
2463968.01902   149642066.62008   9056947.93621   558655.16992   -1.92276   29.65818   -0.22225
2463968.38438   149578499.99360   9992064.94911   551635.28164   -2.10860   29.64635   -0.22294
2463968.74975   149509073.64541   10926790.52344   544593.78311   -2.29438   29.63336   -0.22362
2463969.11512   149433789.81876   11861088.00660   537530.94844   -2.48008   29.61920   -0.22430
2463969.48048   149352650.98538   12794920.75667   530447.05263   -2.66570   29.60389   -0.22496
2463969.84585   149265659.84538   13728252.14387   523342.37153   -2.85123   29.58741   -0.22561
2463970.21121   149172819.32731   14661045.55193   516217.18184   -3.03666   29.56977   -0.22626
2463970.57658   149074132.58807   15593264.37950   509071.76113   -3.22199   29.55097   -0.22690
2463970.94194   148969603.01289   16524872.04160   501906.38779   -3.40721   29.53101   -0.22753
2463971.30731   148859234.21524   17455831.97103   494721.34101   -3.59231   29.50989   -0.22815
2463971.67267   148743030.03682   18386107.61975   487516.90084   -3.77729   29.48761   -0.22876
2463972.03804   148620994.54743   19315662.46032   480293.34809   -3.96213   29.46418   -0.22936
2463972.40340   148493132.04492   20244459.98732   473050.96438   -4.14683   29.43958   -0.22995
2463972.76877   148359447.05513   21172463.71877   465790.03213   -4.33139   29.41383   -0.23053
2463973.13413   148219944.33172   22099637.19753   458510.83449   -4.51579   29.38693   -0.23111
2463973.49950   148074628.85612   23025943.99270   451213.65541   -4.70003   29.35887   -0.23167
2463973.86486   147923505.83740   23951347.70110   443898.77956   -4.88410   29.32966   -0.23223
2463974.23023   147766580.71213   24875811.94860   436566.49236   -5.06800   29.29929   -0.23278
2463974.59560   147603859.14428   25799300.39160   429217.07996   -5.25171   29.26777   -0.23332
2463974.96096   147435347.02503   26721776.71843   421850.82923   -5.43523   29.23510   -0.23385
2463975.32633   147261050.47268   27643204.65075   414468.02774   -5.61855   29.20128   -0.23437
2463975.69169   147080975.83243   28563547.94498   407068.96375   -5.80167   29.16631   -0.23488
2463976.05706   146895129.67625   29482770.39371   399653.92622   -5.98458   29.13020   -0.23538
2463976.42242   146703518.80271   30400835.82710   392223.20477   -6.16727   29.09294   -0.23587
2463976.78779   146506150.23676   31317708.11433   384777.08968   -6.34973   29.05453   -0.23636
2463977.15315   146303031.22956   32233351.16498   377315.87191   -6.53196   29.01498   -0.23683
2463977.51852   146094169.25826   33147728.93044   369839.84302   -6.71394   28.97429   -0.23730
2463977.88388   145879572.02582   34060805.40535   362349.29522   -6.89568   28.93245   -0.23775
2463978.24925   145659247.46077   34972544.62901   354844.52134   -7.07717   28.88948   -0.23820
2463978.61461   145433203.71695   35882910.68674   347325.81482   -7.25839   28.84537   -0.23863
2463978.97998   145201449.17333   36791867.71137   339793.46968   -7.43934   28.80012   -0.23906
2463979.34535   144963992.43372   37699379.88457   332247.78055   -7.62002   28.75374   -0.23948
2463979.71071   144720842.32655   38605411.43833   324689.04259   -7.80041   28.70622   -0.23989
2463980.07608   144472007.90456   39509926.65629   317117.55157   -7.98051   28.65757   -0.24029
2463980.44144   144217498.44457   40412889.87522   309533.60379   -8.16032   28.60779   -0.24068
2463980.80681   143957323.44715   41314265.48639   301937.49609   -8.33982   28.55689   -0.24106
2463981.17217   143691492.63641   42214017.93696   294329.52583   -8.51901   28.50485   -0.24143
2463981.53754   143420015.95959   43112111.73142   286709.99091   -8.69788   28.45169   -0.24179
2463981.90290   143142903.58686   44008511.43297   279079.18971   -8.87642   28.39741   -0.24215
2463982.26827   142860165.91093   44903181.66490   271437.42111   -9.05463   28.34201   -0.24249
2463982.63363   142571813.54674   45796087.11204   263784.98449   -9.23250   28.28549   -0.24282
2463982.99900   142277857.33114   46687192.52212   256122.17968   -9.41002   28.22786   -0.24315
2463983.36436   141978308.32256   47576462.70718   248449.30698   -9.58719   28.16910   -0.24346
2463983.72973   141673177.80060   48463862.54493   240766.66714   -9.76400   28.10924   -0.24377
2463984.09510   141362477.26572   49349356.98023   233074.56133   -9.94044   28.04826   -0.24406
2463984.46046   141046218.43887   50232911.02637   225373.29117   -10.11650   27.98618   -0.24435
2463984.82583   140724413.26107   51114489.76656   217663.15868   -10.29218   27.92299   -0.24462
2463985.19119   140397073.89306   51994058.35524   209944.46627   -10.46748   27.85870   -0.24489
2463985.55656   140064212.71490   52871582.01952   202217.51677   -10.64237   27.79330   -0.24515
2463985.92192   139725842.32555   53747026.06055   194482.61335   -10.81687   27.72681   -0.24540
2463986.28729   139381975.54244   54620355.85489   186740.05957   -10.99095   27.65922   -0.24563
2463986.65265   139032625.40110   55491536.85588   178990.15935   -11.16462   27.59053   -0.24586
2463987.01802   138677805.15469   56360534.59508   171233.21694   -11.33786   27.52076   -0.24608
2463987.38338   138317528.27356   57227314.68357   163469.53692   -11.51068   27.44989   -0.24629
2463987.74875   137951808.44481   58091842.81337   155699.42420   -11.68305   27.37794   -0.24649
2463988.11411   137580659.57183   58954084.75881   147923.18398   -11.85498   27.30490   -0.24668
2463988.47948   137204095.77383   59814006.37790   140141.12179   -12.02646   27.23079   -0.24686
2463988.84484   136822131.38538   60671573.61366   132353.54340   -12.19748   27.15559   -0.24703
2463989.21021   136434780.95590   61526752.49554   124560.75488   -12.36804   27.07932   -0.24719
2463989.57558   136042059.24918   62379509.14076   116763.06256   -12.53813   27.00197   -0.24734
2463989.94094   135643981.24289   63229809.75566   108960.77300   -12.70773   26.92356   -0.24748
2463990.30631   135240562.12804   64077620.63709   101154.19301   -12.87686   26.84408   -0.24761
2463990.67167   134831817.30850   64922908.17373   93343.62962   -13.04549   26.76353   -0.24773
2463991.03704   134417762.40042   65765638.84745   85529.39009   -13.21362   26.68192   -0.24784
2463991.40240   133998413.23177   66605779.23468   77711.78184   -13.38125   26.59926   -0.24794
2463991.76777   133573785.84169   67443296.00777   69891.11252   -13.54836   26.51553   -0.24804
2463992.13313   133143896.48005   68278155.93626   62067.68993   -13.71496   26.43076   -0.24812
2463992.49850   132708761.60680   69110325.88833   54241.82205   -13.88103   26.34494   -0.24819
2463992.86386   132268397.89142   69939772.83204   46413.81699   -14.04657   26.25807   -0.24826
2463993.22923   131822822.21239   70766463.83673   38583.98303   -14.21157   26.17016   -0.24831
2463993.59459   131372051.65652   71590366.07435   30752.62855   -14.37602   26.08121   -0.24835
2463993.95996   130916103.51842   72411446.82074   22920.06207   -14.53993   25.99122   -0.24839
2463994.32533   130454995.29985   73229673.45700   15086.59219   -14.70327   25.90020   -0.24841
2463994.69069   129988744.70913   74045013.47083   7252.52763   -14.86605   25.80815   -0.24842
2463995.05606   129517369.66052   74857434.45780   -581.82285   -15.02826   25.71508   -0.24843
2463995.42142   129040888.27356   75666904.12269   -8416.15038   -15.18989   25.62098   -0.24842
2463995.78679   128559318.87245   76473390.28082   -16250.14606   -15.35094   25.52587   -0.24841
2463996.15215   128072679.98542   77276860.85935   -24083.50094   -15.51140   25.42974   -0.24838
2463996.51752   127580990.34401   78077283.89857   -31915.90604   -15.67126   25.33259   -0.24835
2463996.88288   127084268.88249   78874627.55323   -39747.05238   -15.83051   25.23444   -0.24830
2463997.24825   126582534.73709   79668860.09383   -47576.63093   -15.98916   25.13529   -0.24825
2463997.61361   126075807.24542   80459949.90789   -55404.33270   -16.14719   25.03513   -0.24818
2463997.97898   125564105.94568   81247865.50130   -63229.84872   -16.30459   24.93398   -0.24811
2463998.34434   125047450.57603   82032575.49956   -71052.87003   -16.46137   24.83184   -0.24802
2463998.70971   124525861.07384   82814048.64907   -78873.08773   -16.61751   24.72870   -0.24793
2463999.07508   123999357.57501   83592253.81843   -86690.19296   -16.77301   24.62458   -0.24783
2463999.44044   123467960.41319   84367159.99973   -94503.87693   -16.92787   24.51948   -0.24771
2463999.80581   122931690.11911   85138736.30976   -102313.83095   -17.08206   24.41340   -0.24759
2464000.17117   122390567.41979   85906951.99136   -110119.74639   -17.23560   24.30635   -0.24746
2464000.53654   121844613.23782   86671776.41462   -117921.31474   -17.38847   24.19833   -0.24731
2464000.90190   121293848.69057   87433179.07818   -125718.22762   -17.54067   24.08935   -0.24716
2464001.26727   120738295.08945   88191129.61047   -133510.17675   -17.69219   23.97940   -0.24700
2464001.63263   120177973.93912   88945597.77096   -141296.85400   -17.84303   23.86850   -0.24683
2464001.99800   119612906.93671   89696553.45142   -149077.95141   -17.99317   23.75664   -0.24665
2464002.36336   119043115.97103   90443966.67715   -156853.16117   -18.14262   23.64384   -0.24645
2464002.72873   118468623.12176   91187807.60824   -164622.17564   -18.29136   23.53009   -0.24625
2464003.09409   117889450.65867   91928046.54078   -172384.68739   -18.43940   23.41540   -0.24604
2464003.45946   117305621.04074   92664653.90810   -180140.38918   -18.58672   23.29978   -0.24582
2464003.82482   116717156.91542   93397600.28199   -187888.97397   -18.73331   23.18322   -0.24559
2464004.19019   116124081.11771   94126856.37394   -195630.13499   -18.87918   23.06574   -0.24535
2464004.55556   115526416.66940   94852393.03634   -203363.56566   -19.02432   22.94734   -0.24510
2464004.92092   114924186.77816   95574181.26368   -211088.95968   -19.16872   22.82802   -0.24484
2464005.28629   114317414.83671   96292192.19378   -218806.01101   -19.31238   22.70778   -0.24457
2464005.65165   113706124.42193   97006397.10898   -226514.41388   -19.45528   22.58664   -0.24429
2464006.01702   113090339.29402   97716767.43733   -234213.86280   -19.59743   22.46460   -0.24400
